Simulated Composition,Energy above convex hull (meV/atom)
"Sr4La4Ni8O24
",194.268536574
"La8Co1Ni7O24
",108.979857614
"La8Co2Ni6O24
",86.4067635131
"La8Cr1Ni7O24
",114.247314439
"La8Cr2Ni6O24
",95.7636771618
"La8Fe1Ni7O24
",115.200293626
"La8Fe2Ni6O24
",102.514385537
"La8Mg1Ni7O24
",0.0
"La8Mg2Ni6O24
",0.0
"La8Mg4Ni4O24
",0.0
"La8Mn1Ni7O24
",100.457044713
"La8Mn2Ni6O24
",69.2693877098
"La8Ni8O24
",128.935951716
"Ba2La6Sc8O24
",14.0944440539
"Ba4La4Sc8O24
",42.2958931079
"Ca2La6Sc8O24
",30.4689790539
"Ca4La4Sc8O24
",87.3607131079
"La6Dy2Sc8O24
",0.0
"La4Dy4Sc8O24
",0.0
"La6Gd2Sc8O24
",30.22875
"La4Gd4Sc8O24
",29.653255
"La6Ho2Sc8O24
",0.0
"La4Ho4Sc8O24
",0.992490625
"La6Nd2Sc8O24
",0.0
"La4Nd4Sc8O24
",0.0
"La6Sm2Sc8O24
",0.0
"La4Sm4Sc8O24
",0.0
"Sr2La6Sc8O24
",11.9314874914
"Sr4La4Sc8O24
",49.3632299829
"La8Sc7Co1O24
",0.0
"La8Sc6Co2O24
",0.0
"La8Sc4Co4O24
",0.0
"La8Sc7Cr1O24
",0.0
"La8Sc6Cr2O24
",0.0
"La8Sc4Cr4O24
",0.0
"La8Sc7Fe1O24
",0.0
"La8Sc6Fe2O24
",0.0
"La8Sc4Fe4O24
",0.0
"La8Mg1Sc7O24
",5.0562563395
"La8Mg2Sc6O24
",34.3690176789
"La8Mg4Sc4O24
",89.9135403579
"La8Sc7Mn1O24
",9.5235200865
"La8Sc6Mn2O24
",0.0
"La8Sc4Mn4O24
",0.0
"La8Sc7Ni1O24
",0.0
"La8Sc6Ni2O24
",16.2043591789
"La8Sc4Ni4O24
",44.4184733579
"La8Sc8O24
",0.0
"Ba2La6Ti8O24
",14.8100515625
"Ba4La4Ti8O24
",13.804608375
"Ca2La6Ti8O24
",8.970625875
"Ca4La4Ti8O24
",0.0
"La6Dy2Ti8O24
",52.6296356875
"La4Dy4Ti8O24
",60.680276625
"La6Gd2Ti8O24
",34.5198214375
"La4Gd4Ti8O24
",34.149398125
"La6Ho2Ti8O24
",55.3782776875
"La4Ho4Ti8O24
",62.110810625
"La6Nd2Ti8O24
",35.5034056875
"La4Nd4Ti8O24
",40.797316625
"La6Sm2Ti8O24
",42.324806125
"La4Sm4Ti8O24
",50.8263675
"Sr2La6Ti8O24
",7.3789669861
"Sr4La4Ti8O24
",0.0
"La8Ti7Co1O24
",88.3802996944
"La8Ti6Co2O24
",141.470543625
"La8Ti4Co4O24
",23.94141725
"La8Ti7Cr1O24
",74.7468692031
"La8Ti6Cr2O24
",117.125778375
"La8Ti4Cr4O24
",62.9442200833
"La8Ti7Fe1O24
",79.2325764722
"La8Ti6Fe2O24
",118.542972875
"La8Ti4Fe4O24
",28.81237225
"La8Mg1Ti7O24
",25.722252
"La8Mg2Ti6O24
",24.13350925
"La8Mg4Ti4O24
",22.18427375
"La8Ti7Mn1O24
",65.3557068672
"La8Ti6Mn2O24
",95.520522806
"La8Ti4Mn4O24
",37.348833846
"La8Ti7Ni1O24
",122.038739417
"La8Ti6Ni2O24
",208.989074875
"La8Ti4Ni4O24
",39.83120675
"La8Ti8O24
",30.17024475
"Ba2La6V8O24
",53.85203387
"Ba4La4V8O24
",79.64651974
"Ca2La6V8O24
",33.200068125
"Ca4La4V8O24
",21.88033825
"La6Dy2V8O24
",44.856381
"La4Dy4V8O24
",45.433214
"La6Gd2V8O24
",0.0
"La4Gd4V8O24
",0.0
"La6Ho2V8O24
",47.619279875
"La4Ho4V8O24
",47.26926175
"La6Nd2V8O24
",35.46209575
"La6Sm2V8O24
",26.169518375
"La4Sm4V8O24
",13.39023875
"Sr2La6V8O24
",29.1224504136
"Sr4La4V8O24
",23.6626028272
"La8V7Co1O24
",57.4995003125
"La8V6Co2O24
",61.213702625
"La8V4Co4O24
",31.378064
"La8V7Cr1O24
",36.6852424375
"La8V6Cr2O24
",48.571186875
"La8V4Cr4O24
",49.15732575
"La8V7Fe1O24
",35.123221625
"La8V6Fe2O24
",35.15839525
"La8V4Fe4O24
",28.2257425
"La8Mg1V7O24
",0.0
"La8Mg2V6O24
",0.0
"La8Mg4V4O24
",0.0
"La8Mn1V7O24
",86.889654024
"La8Mn2V6O24
",36.179510048
"La8Mn4V4O24
",73.395222096
"La8V7Ni1O24
",73.0016409375
"La8V6Ni2O24
",117.714483875
"La8V4Ni4O24
",104.542615
"La8V8O24
",36.257048
Sr1Mg2O24Ga6La7,157.595599628
"Ba4Ce4Mn8O24
",119.114167692
"Ba4Dy4Mn8O24
",137.408712525
"Ba4Er4Mn8O24
",150.999876359
"Ba4Gd4Mn8O24
",105.693165317
"Ba4Ho4Mn8O24
",144.194571525
"Ba4La4Mn8O24
",78.0094957753
"Ba4Nd4Mn8O24
",93.9602340253
"Ba4Pr4Mn8O24
",53.5428595253
"Ba4Sm4Mn8O24
",107.975066775
"Ba4Y4Mn8O24
",124.630840359
"Ba4Pr4Mn6Co2O24
",86.5356568286
"Ba4Pr4Mn6Cu2O24
",132.109024281
"Ba4Pr4Mn6Fe2O24
",80.4591079773
"Ba4Pr4Mn6Ni2O24
",112.573845031
Ba4Sr4Fe2Co5Nb1O24,65.294810373
Ba4Sr4Fe2Co5Y1O24,100.859781275
Ba4Sr4Fe2Co5Zr1O24,77.9804427868
"Ba4Sr4Fe2Co6O24
",123.754016388
Sr4Nb1Ba4O24Fe7,26.8325976181
Sr4Zn2Ba4O24Fe6,85.1942082455
O24Co3Ba8Zr2Fe3,58.6508557954
Co3Ba8O24Fe3Y1Zr1,75.8854938579
"Ba7Cd1Hf1Zr6Fe1O24
",0.0
"Ba6Cd2Hf1Zr6Fe1O24
",0.0
"Ba4Cd4Hf1Zr6Fe1O24
",98.580755152
"Ba7Sn1Hf1Zr6Fe1O24
",0.0
"Ba6Sn2Hf1Zr6Fe1O24
",3.5098285625
"Ba4Sn4Hf1Zr6Fe1O24
",85.2336429375
"Ba7Bi1Fe8O24
",100.949224712
"Ba6Bi2Fe8O24
",129.323671733
"Ba4Bi4Fe8O24
",187.39104625
"Ba7Cd1Fe8O24
",126.886312072
"Ba6Cd2Fe8O24
",175.579596453
"Ba4Cd4Fe8O24
",278.984665216
"Ba7Sn1Fe8O24
",185.404210656
"Ba6Sn2Fe8O24
",283.906453358
"Ba4Sn4Fe8O24
",468.0346095
"Ba7Bi1Zr7Fe1O24
",0.0
"Ba6Bi2Zr7Fe1O24
",0.2022891806
"Ba4Bi4Zr7Fe1O24
",138.892854722
"Ba7Cd1Zr7Fe1O24
",22.478400277
"Ba6Cd2Zr7Fe1O24
",59.183823902
"Ba4Cd4Zr7Fe1O24
",151.553671152
"Ba7Sn1Zr7Fe1O24
",21.172087375
"Ba6Sn2Zr7Fe1O24
",52.4822445625
"Ba4Sn4Zr7Fe1O24
",137.126058937
Sr4Bi4O24Fe8,73.18129625
"Bi1Ba3Sr4Fe2Co6O24
",125.292207611
"Bi2Ba2Sr4Fe2Co6O24
",126.881898834
"Bi4Sr4Fe2Co6O24
",170.388617304
"Ba3Sr3La2Mn1Fe7O24
",0.0
"La2Sr6Cr2Fe6O24
",89.81673775
"Ba6La2Mn2Fe6O24
",69.972385481
"Ba8Mn2Zr1Fe5O24
",0.0
"Ba7Sr1Mn1Fe7O24
",87.7843631349
"Ba7Sr1Mn2Fe6O24
",93.6717096162
"Ba8Fe2Nb1Co5O24
",122.31135567
"Ba8Cr8O24
",15.007828375
"Ba8Ti8O24
",19.340972
"Ba8V8O24
",0.0
"Ca8Cr8O24
",0.0
"Ca8Ti8O24
",12.44807725
"Ca8V8O24
",0.0
Sr8O24Cr8,0.0
"Sr8Ti8O24
",8.691789
"Ba4Gd4Co8O24
",130.59739217
Fe6Co2Ba6O24La2,32.9412986079
"La5Sr3Fe6Co2O24
",47.0862504559
O24Sr3Fe6Cu2La5,4.3671768848
"Ba6Bi1La1Fe8O24
",93.4258071256
"Ba5Bi2La1Fe8O24
",127.378189206
"Ba3Bi4La1Fe8O24
",171.956702719
"Ba6Cd1La1Fe8O24
",114.554644486
"Ba5Cd2La1Fe8O24
",166.187428867
"Ba3Cd4La1Fe8O24
",258.665309564
"Ba6Sn1La1Fe8O24
",158.427043069
"Ba5Sn2La1Fe8O24
",276.028720831
"Ba3Sn4La1Fe8O24
",285.948164375
"Ba3Bi1Pr4Co8O24
",109.033410819
"Ba2Bi2Pr4Co8O24
",106.70233503
"Bi4Pr4Co8O24
",69.4735155302
"Ba3Cd1Pr4Ni8O24
",257.075962699
"Ba2Cd2Pr4Ni8O24
",284.898189574
"Cd4Pr4Ni8O24
",298.368831324
"Ba3Sn1Pr4Ni8O24
",263.83957477
"Ba2Sn2Pr4Ni8O24
",276.340268528
"Sn4Pr4Ni8O24
",232.454010858
"Sr4Sm4Co8O24
",83.917195748
Sr8Co6Fe2O24,44.5414483407
Sr8Nb1Fe7O24,0.0
Sc2Sr8Co6O24,0.0
"Ba4Pr4Hf4Co4O24
",99.7625282026
"Ba4Pr4Hf6Co2O24
",48.464530625
"Ba4Pr4Hf7Co1O24
",185.524542312
"Ba4Pr4Nb4Co4O24
",52.0286768333
"Ba4Pr4Nb6Co2O24
",251.36028695
"Ba4Pr4Nb7Co1O24
",207.515713527
"Ba4Pr4Ta4Co4O24
",39.9617942
"Ba4Pr4Ta6Co2O24
",294.4157031
"Ba4Pr4Ta7Co1O24
",280.87646981
"Ba4Pr4Zr4Co4O24
",77.8684422026
"Ba4Pr4Zr6Co2O24
",47.369345875
"Ba4Pr4Zr7Co1O24
",165.778433187
"Ba4Pr4Hf4Fe4O24
",0.0
"Ba4Pr4Hf6Fe2O24
",139.763133125
"Ba4Pr4Hf7Fe1O24
",197.246256937
"Ba4Pr4Nb4Fe4O24
",42.1689745
"Ba4Pr4Nb6Fe2O24
",211.4607162
"Ba4Pr4Nb7Fe1O24
",202.664553441
"Ba4Pr4Ta4Fe4O24
",31.5202492
"Ba4Pr4Ta6Fe2O24
",281.102442575
"Ba4Pr4Ta7Fe1O24
",286.014919019
"Ba4Pr4Zr4Fe4O24
",126.7773445
"Ba4Pr4Zr6Fe2O24
",202.283948375
"Ba4Pr4Zr7Fe1O24
",175.569397812
"Ba4Pr4Hf4Ni4O24
",230.921904608
"Ba4Pr4Hf6Ni2O24
",140.538550375
"Ba4Pr4Hf7Ni1O24
",229.064682937
"Ba4Pr4Nb4Ni4O24
",134.5064424
"Ba4Pr4Nb6Ni2O24
",321.98957475
"Ba4Pr4Ta4Ni4O24
",139.345081333
"Ba4Pr4Ta6Ni2O24
",367.6244316
"Ba4Pr4Ta7Ni1O24
",299.692484775
"Ba4Pr4Zr4Ni4O24
",199.684568608
"Ba4Pr4Zr6Ni2O24
",128.448865625
"Ba4Pr4Zr7Ni1O24
",211.476823813
"Ba2Pr6Co8O24
",62.4940495065
"Ba4Pr4Co8O24
",113.901486608
"Ca2Pr6Co8O24
",49.6917624592
"Ca4Pr4Co8O24
",73.1341625131
"Pr6Dy2Co8O24
",48.0411705302
"Pr4Dy4Co8O24
",50.8392286552
"Pr6Gd2Co8O24
",0.0
"Pr4Gd4Co8O24
",0.0
"Pr6Ho2Co8O24
",47.4586630927
"Pr4Ho4Co8O24
",57.3822137802
"Pr6Nd2Co8O24
",25.0244873427
"Pr4Nd4Co8O24
",25.3031122802
"Pr6Sm2Co8O24
",47.801375999
"Pr4Sm4Co8O24
",35.0768895927
"Sr2Pr6Co8O24
",38.1465154829
"Sr4Pr4Co8O24
",64.9749185605
"Pr8Cr1Co7O24
",22.3740347177
"Pr8Cr2Co6O24
",29.1802070302
"Pr8Cr4Co4O24
",13.1808016552
"Pr8Fe1Co7O24
",42.2355879796
"Pr8Fe2Co6O24
",36.1695635539
"Pr8Fe4Co4O24
",40.8070147026
"Pr8Mg1Co7O24
",0.0
"Pr8Mg2Co6O24
",0.0
"Pr8Mg4Co4O24
",0.0
"Pr8Mn1Co7O24
",26.2303387536
"Pr8Mn2Co6O24
",29.3008151019
"Pr8Co7Ni1O24
",32.9759565065
"Pr8Co6Ni2O24
",28.0575506079
"Pr8Co4Ni4O24
",95.3324888105
"Pr8Co8O24
",22.4196124052
"Ba2Pr6Cr8O24
",33.6549837917
"Ba4Pr4Cr8O24
",100.440194583
"Ca2Pr6Cr8O24
",13.8924376789
"Ca4Pr4Cr8O24
",51.4231023579
"Pr6Dy2Cr8O24
",0.0
"Pr4Dy4Cr8O24
",9.106651
"Pr6Gd2Cr8O24
",0.0
"Pr4Gd4Cr8O24
",0.0
"Pr6Ho2Cr8O24
",0.0
"Pr4Ho4Cr8O24
",10.51108275
"Pr6Nd2Cr8O24
",0.0
"Pr4Nd4Cr8O24
",1.40097275
"Pr6Sm2Cr8O24
",0.0
"Pr4Sm4Cr8O24
",0.0
"Sr2Pr6Cr8O24
",12.1655324167
"Sr4Pr4Cr8O24
",54.4675418333
"Pr8Cr7Co1O24
",0.0
"Pr8Cr6Co2O24
",0.0
"Pr8Cr7Fe1O24
",0.0
"Pr8Cr6Fe2O24
",0.0
"Pr8Mg1Cr7O24
",0.0
"Pr8Mg2Cr6O24
",0.0
"Pr8Mg4Cr4O24
",0.0
"Pr8Mn1Cr7O24
",0.0
"Pr8Mn2Cr6O24
",0.0
"Pr8Mn4Cr4O24
",21.517473096
"Pr8Cr7Ni1O24
",0.0
"Pr8Cr6Ni2O24
",0.0
"Pr8Cr4Ni4O24
",18.4401941079
"Pr8Cr8O24
",0.0
"Ba2Pr6Fe8O24
",58.8853196728
"Ba4Pr4Fe8O24
",78.1817223456
"Ca2Pr6Fe8O24
",55.4728596164
"Ca4Pr4Fe8O24
",72.0108022329
"Pr6Dy2Fe8O24
",51.238815375
"Pr4Dy4Fe8O24
",51.31971375
"Pr6Gd2Fe8O24
",0.0
"Pr4Gd4Fe8O24
",0.0
"Pr6Ho2Fe8O24
",52.565170625
"Pr4Ho4Fe8O24
",52.52667425
"Pr6Nd2Fe8O24
",44.848887375
"Pr4Nd4Fe8O24
",44.92360775
"Pr6Sm2Fe8O24
",47.141973375
"Pr4Sm4Fe8O24
",48.18377975
"Sr2Pr6Fe8O24
",48.3755925539
"Sr4Pr4Fe8O24
",58.5465181079
"Pr8Fe7Co1O24
",45.5261914257
"Pr8Fe6Co2O24
",47.9204658513
"Pr8Cr1Fe7O24
",30.80780525
"Pr8Cr2Fe6O24
",17.0719435
"Pr8Cr4Fe4O24
",0.0
"Pr8Mg1Fe7O24
",0.0
"Pr8Mg2Fe6O24
",0.0
"Pr8Mg4Fe4O24
",0.0
"Pr8Mn1Fe7O24
",48.100167774
"Pr8Mn2Fe6O24
",50.948668548
"Pr8Fe7Ni1O24
",47.545535527
"Pr8Fe6Ni2O24
",54.0734040539
"Pr8Fe4Ni4O24
",69.8113911079
"Pr8Fe8O24
",44.549417
"Ba2Pr6Ga8O24
",155.465078116
"Ba4Pr4Ga8O24
",234.8007094
"Ca2Pr6Ga8O24
",132.773863413
"Ca4Pr4Ga8O24
",204.099993472
"Pr6Dy2Ga8O24
",75.4658120833
"Pr4Dy4Ga8O24
",90.00434745
"Pr6Gd2Ga8O24
",67.7439449583
"Pr4Gd4Ga8O24
",78.3502295312
"Pr6Ho2Ga8O24
",76.7577252083
"Pr4Ho4Ga8O24
",91.3811395875
"Pr6Nd2Ga8O24
",64.5192862917
"Pr4Nd4Ga8O24
",74.5637353438
"Pr6Sm2Ga8O24
",69.4770316667
"Pr4Sm4Ga8O24
",82.9266298333
"Sr2Pr6Ga8O24
",135.991885163
"Sr4Pr4Ga8O24
",202.393591514
"Pr8Ga7Co1O24
",56.5407125895
"Pr8Ga6Co2O24
",60.6316355776
"Pr8Ga4Co4O24
",66.6463829526
"Pr8Cr1Ga7O24
",44.2032278125
"Pr8Cr2Ga6O24
",38.123014625
"Pr8Cr4Ga4O24
",26.27533825
"Pr8Ga7Fe1O24
",46.33040675
"Pr8Ga6Fe2O24
",43.1541225
"Pr8Ga4Fe4O24
",37.473804
"Pr8Mg1Ga7O24
",82.6646597145
"Pr8Mg2Ga6O24
",110.052006054
"Pr8Mg4Ga4O24
",157.158326358
"Pr8Mn1Ga7O24
",54.666157524
"Pr8Mn2Ga6O24
",58.736874048
"Pr8Mn4Ga4O24
",58.332307096
"Pr8Ga7Ni1O24
",76.8321234645
"Pr8Ga6Ni2O24
",97.0888905539
"Pr8Ga4Ni4O24
",129.976759358
"Pr8Ga8O24
",50.298441
"Ba2Pr6Mn8O24
",51.3090163587
"Ca2Pr6Mn8O24
",33.273366692
"Ca4Pr4Mn8O24
",37.033060192
"Pr6Dy2Mn8O24
",50.708099692
"Pr4Dy4Mn8O24
",56.733026192
"Pr6Gd2Mn8O24
",0.0
"Pr4Gd4Mn8O24
",0.0
"Pr6Ho2Mn8O24
",53.390279192
"Pr4Ho4Mn8O24
",60.862885192
"Pr6Nd2Mn8O24
",39.542985442
"Pr4Nd4Mn8O24
",39.693297692
"Pr6Sm2Mn8O24
",41.664526817
"Pr4Sm4Mn8O24
",42.815880442
"Sr2Pr6Mn8O24
",28.249643567
"Sr4Pr4Mn8O24
",34.011113942
"Pr8Mn7Co1O24
",41.2956968437
"Pr8Mn6Co2O24
",45.2879704953
"Pr8Mn4Co4O24
",0.0
"Pr8Mn7Cr1O24
",34.251060668
"Pr8Mn6Cr2O24
",31.351448144
"Pr8Mn7Fe1O24
",40.760422418
"Pr8Mn6Fe2O24
",44.324421644
"Pr8Mn4Fe4O24
",52.054920096
"Pr8Mg1Mn7O24
",0.0
"Pr8Mg2Mn6O24
",0.0
"Pr8Mg4Mn4O24
",0.0
"Pr8Mn7Ni1O24
",65.031540945
"Pr8Mn6Ni2O24
",18.9559086979
"Pr8Mn8O24
",39.207923192
"Ba2Pr6Ni8O24
",162.89217552
"Ba4Pr4Ni8O24
",214.364169074
"Ca2Pr6Ni8O24
",169.71976527
"Ca4Pr4Ni8O24
",224.402165324
"Pr6Dy2Ni8O24
",138.758173341
"Pr4Dy4Ni8O24
",150.562981466
"Pr6Gd2Ni8O24
",0.0
"Pr4Gd4Ni8O24
",0.0
"Pr6Ho2Ni8O24
",141.471165903
"Pr4Ho4Ni8O24
",154.697466591
"Pr6Nd2Ni8O24
",122.980240153
"Pr4Nd4Ni8O24
",124.729865091
"Pr6Sm2Ni8O24
",128.386128809
"Pr4Sm4Ni8O24
",134.671642403
"Sr2Pr6Ni8O24
",152.42942927
"Sr4Pr4Ni8O24
",195.442993324
"Pr8Co1Ni7O24
",102.151271114
"Pr8Co2Ni6O24
",81.5909270131
"Pr8Cr1Ni7O24
",94.6538849388
"Pr8Cr2Ni6O24
",83.0269046618
"Pr8Fe1Ni7O24
",106.701246689
"Pr8Fe2Ni6O24
",93.8711281618
"Pr8Mg1Ni7O24
",0.0
"Pr8Mg2Ni6O24
",0.0
"Pr8Mg4Ni4O24
",0.0
"Pr8Mn1Ni7O24
",91.3449974628
"Pr8Mn2Ni6O24
",60.7251297098
"Pr8Mn4Ni4O24
",0.0
"Pr8Ni8O24
",120.596615216
"Ba2Pr6Sc8O24
",65.9849631789
"Ba4Pr4Sc8O24
",94.3019058579
"Ca2Pr6Sc8O24
",81.0394981789
"Ca4Pr4Sc8O24
",141.373725858
"Pr6Dy2Sc8O24
",36.1816244687
"Pr4Dy4Sc8O24
",43.1287284375
"Pr6Gd2Sc8O24
",26.491269125
"Pr4Gd4Sc8O24
",26.50926775
"Pr6Ho2Sc8O24
",40.0673869375
"Pr4Ho4Sc8O24
",49.581503375
"Pr6Nd2Sc8O24
",24.413617625
"Pr4Nd4Sc8O24
",25.08521475
"Pr6Sm2Sc8O24
",26.749646375
"Pr4Sm4Sc8O24
",28.58352225
"Sr2Pr6Sc8O24
",63.3172566164
"Sr4Pr4Sc8O24
",102.395742733
"Pr8Sc7Co1O24
",31.1645319882
"Pr8Sc6Co2O24
",36.3567934763
"Pr8Sc4Co4O24
",42.9040664526
"Pr8Sc7Cr1O24
",17.6733958125
"Pr8Sc6Cr2O24
",10.352771125
"Pr8Sc4Cr4O24
",0.0
"Pr8Sc7Fe1O24
",25.7130075625
"Pr8Sc6Fe2O24
",27.595994625
"Pr8Sc4Fe4O24
",28.72421875
"Pr8Mg1Sc7O24
",51.7559553395
"Pr8Mg2Sc6O24
",82.2953901789
"Pr8Mg4Sc4O24
",140.515009858
"Pr8Sc7Mn1O24
",33.6737583365
"Pr8Sc6Mn2O24
",42.749246173
"Pr8Sc4Mn4O24
",51.950721846
"Pr8Sc7Ni1O24
",47.2433760895
"Pr8Sc6Ni2O24
",71.6777316789
"Pr8Sc4Ni4O24
",110.716942858
"Pr8Sc8O24
",23.6410205
"Ba2Pr6Ti8O24
",10.17451175
"Ba4Pr4Ti8O24
",11.5904985
"Ca2Pr6Ti8O24
",19.2994335
"Ca4Pr4Ti8O24
",21.819592
"Pr6Dy2Ti8O24
",66.761333125
"Pr4Dy4Ti8O24
",95.226843375
"Pr6Gd2Ti8O24
",42.3440435938
"Pr4Gd4Ti8O24
",55.0100621875
"Pr6Ho2Ti8O24
",71.1848256875
"Pr4Ho4Ti8O24
",103.2663285
"Pr6Nd2Ti8O24
",44.0103778438
"Pr4Nd4Ti8O24
",54.8277306875
"Pr6Sm2Ti8O24
",52.9102782812
"Pr4Sm4Ti8O24
",70.1397815625
"Sr2Pr6Ti8O24
",0.0
"Sr4Pr4Ti8O24
",0.0
"Pr8Ti7Co1O24
",94.0584551875
"Pr8Ti6Co2O24
",137.881939187
"Pr8Ti4Co4O24
",14.001149625
"Pr8Ti7Cr1O24
",57.6088494687
"Pr8Ti6Cr2O24
",95.4966739375
"Pr8Ti4Cr4O24
",49.4252902917
"Pr8Ti7Fe1O24
",85.8908576875
"Pr8Ti6Fe2O24
",105.442368438
"Pr8Ti4Fe4O24
",19.808604625
"Pr8Mg1Ti7O24
",17.7187702813
"Pr8Mg2Ti6O24
",0.0
"Pr8Mg4Ti4O24
",5.435506125
"Pr8Ti7Mn1O24
",68.9092871406
"Pr8Ti6Mn2O24
",80.6894183685
"Pr8Ti4Mn4O24
",35.728066221
"Pr8Ti7Ni1O24
",125.215369687
"Pr8Ti6Ni2O24
",178.137720437
"Pr8Ti4Ni4O24
",23.228189125
"Pr8Ti8O24
",32.611025
"Ba2Pr6V8O24
",18.9735033
"Ba4Pr4V8O24
",57.144381475
"Ca2Pr6V8O24
",8.6307090469
"Ca4Pr4V8O24
",21.1232453125
"Pr6Dy2V8O24
",0.0
"Pr4Dy4V8O24
",6.8901275625
"Pr6Gd2V8O24
",0.0
"Pr4Gd4V8O24
",0.0
"Pr6Ho2V8O24
",0.0
"Pr4Ho4V8O24
",7.0559253125
"Pr6Nd2V8O24
",3.6982160938
"Pr4Nd4V8O24
",23.2118070625
"Pr6Sm2V8O24
",0.0
"Pr4Sm4V8O24
",9.3649023125
"Sr2Pr6V8O24
",0.0
"Sr4Pr4V8O24
",0.5317663897
"Pr8V7Co1O24
",11.2780820234
"Pr8V6Co2O24
",54.0607889219
"Pr8V4Co4O24
",69.00741775
"Pr8V7Cr1O24
",0.0
"Pr8V6Cr2O24
",0.0
"Pr8V4Cr4O24
",0.0
"Pr8V7Fe1O24
",0.0
"Pr8V6Fe2O24
",5.2067181719
"Pr8V4Fe4O24
",26.1974495
"Pr8Mg1V7O24
",0.0
"Pr8Mg2V6O24
",0.0
"Pr8Mg4V4O24
",0.0
"Pr8Mn1V7O24
",7.5656417818
"Pr8Mn2V6O24
",35.6929084386
"Pr8Mn4V4O24
",42.187522471
"Pr8V7Ni1O24
",44.5467226484
"Pr8V6Ni2O24
",73.7535701719
"Pr8V4Ni4O24
",103.74396875
"Pr8V8O24
",0.0
"Ba8Fe1Co7O24
",133.030324873
"Ba8Fe2Co6O24
",120.413788935
"Ba8Mn1Co7O24
",129.601532228
"Ba8Mn2Co6O24
",142.333953646
"Ba8Co7Ni1O24
",159.117704912
"Ba8Co6Ni2O24
",191.113049013
Ni4Co4Ba8O24,244.348237216
"Ba8Mn7Co1O24
",168.517826662
"Ba8Mn6Co2O24
",179.412889318
"Ba8Mn4Co4O24
",155.663046482
"Ba8Mn7Fe1O24
",157.242981487
Mn6Ba8O24Fe2,136.431443748
"Ba8Mn7Ni1O24
",182.075420764
"Ba8Mn6Ni2O24
",185.197855252
"Ba8Ni7Co1O24
",245.692438878
"Ba8Ni6Co2O24
",250.252038324
"Ba8Ni4Co4O24
",260.129737216
"Ba8Fe1Ni7O24
",217.25282394
"Ba8Fe2Ni6O24
",202.269808449
"Ba8Mn1Ni7O24
",265.270592068
Ni6Mn2Ba8O24,209.019844705
